Country,Region,GDP Contribution,Literacy Rate,Purchasing Power Value,Purchasing Power Category,Safety Value,Safety Category,Health Care Value,Health Care Category,Climate Value,Climate Category,GDP,Cost of Living Value,Cost of Living Category,Property Price to Income Value,Property Price to Income Category,Traffic Commute Time Value,Traffic Commute Time Category,Pollution Value,Pollution Category,Quality of Life Value,Quality of Life Category
Afghanistan,Central,0,38.17%,32.15,'Very Low',25.33,'Low',24.24,'Low',0,None,growth,21.08,'Very Low',7.8,'Low',56.17,'Very High',84.44,'Very High',0,None
Albania,East,0.02%,97.55%,42.82,'Low',55.52,'Moderate',48.21,'Moderate',86.43,'Very High',4.84%,40.85,'Low',14.88,'High',36.74,'Moderate',77.25,'High',': 104.16','Low'
Algeria,North,0.19%,79.61%,27.6,'Very Low',47.54,'Moderate',54.43,'Moderate',94.82,'Very High',3.10%,25.31,'Very Low',21.7,'Very High',45.09,'High',63.87,'High',': 98.83','Very Low'
Andorra,West,0.00%,100.00%,121.14,'Very High',84.71,'Very High',75.56,'High',0,None,8.81%,48.09,'Low',9.03,'Moderate',13.33,'Very Low',22.98,'Low',0,None
Angola,South,0.11%,71.16%,224.46,'Very High',33.71,'Low',36.58,'Low',0,None,3.05%,42.57,'Low',8.01,'Moderate',65.43,'Very High',92.07,'Very High',0,None
Antigua And Barbuda,West,0.00%,98.95%,0,None,42.86,'Moderate',30.56,'Low',0,None,8.46%,0,None,0,None,35,'Moderate',43.1,'Moderate',0,None
Argentina,South,0.63%,98.09%,40.36,'Low',36.36,'Low',68,'High',98.28,'Very High',5.24%,32.65,'Very Low',20.05,'Very High',44.07,'High',50.81,'Moderate',': 115.06','Low'
Armenia,Central,0.02%,99.77%,36.91,'Very Low',77.81,'High',58.07,'Moderate',63.42,'High',12.60%,41.84,'Low',20.95,'Very High',29.31,'Low',62.55,'High',': 116.56','Low'
Australia,East,1.67%,99.00%,137.58,'Very High',52.71,'Moderate',73.35,'High',93.8,'Very High',3.62%,64.5,'Moderate',8.25,'Moderate',37.48,'Moderate',26.8,'Low',': 190.69','Very High'
Austria,Central,0.47%,98.00%,109.08,'High',70.38,'High',77.83,'High',77.4,'High',5.00%,62.22,'Moderate',11.76,'Moderate',23.77,'Very Low',20.73,'Low',': 192.07','Very High'
Azerbaijan,Central,0.08%,99.81%,41.75,'Low',68.12,'High',48.31,'Moderate',91.4,'Very High',4.62%,30.26,'Very Low',15.24,'High',40.63,'Moderate',72.69,'High',': 113.51','Low'
Bahamas,West,0.01%,95.60%,58.59,'Low',43.76,'Moderate',39.52,'Low',0,None,14.37%,81.3,'High',5.32,'Low',27.69,'Low',61.34,'High',0,None
Bahrain,Central,0.04%,95.72%,114.56,'Very High',75.28,'High',66.6,'High',64.31,'High',4.86%,48.79,'Low',4.9,'Very Low',30.74,'Low',71.57,'High',': 158.68','High'
Bangladesh,South,0.46%,61.49%,36.16,'Very Low',38.79,'Low',42.2,'Moderate',71.29,'High',7.10%,20.76,'Very Low',12.26,'High',57.57,'Very High',85.31,'Very High',': 74.51','Very Low'
Barbados,West,0.01%,99.70%,46.93,'Low',55.14,'Moderate',71.88,'High',0,None,10.00%,70.6,'Moderate',14.67,'High',36.67,'Moderate',24.39,'Low',0,None
Belarus,East,0.07%,99.72%,56.24,'Low',49.99,'Moderate',48.5,'Moderate',64.37,'High',-4.70%,25.11,'Very Low',12.79,'High',31.2,'Low',44.94,'Moderate',': 127.48','Moderate'
Belgium,West,0.58%,99.00%,118.62,'Very High',50.42,'Moderate',75.76,'High',86.03,'Very High',3.25%,57.41,'Low',6.82,'Low',35.19,'Moderate',49.45,'Moderate',': 168.52','Very High'
Belize,Central,0.00%,82.78%,0,None,47.47,'Moderate',47.37,'Moderate',0,None,12.13%,0,None,6.06,'Low',12.75,'Very Low',52.8,'Moderate',0,None
Benin,West,0.02%,38.45%,0,None,62.16,'High',51.39,'Moderate',0,None,6.25%,0,None,0,None,26,'Very Low',97.41,'Very High',0,None
Bhutan,South,0,63.91%,74.38,'Moderate',70.45,'High',73.28,'High',0,None,3.07%,24.92,'Very Low',14.07,'High',2.95,'Very Low',48.82,'Moderate',0,None
Bolivia,Central,0.04%,95.14%,43.04,'Low',35,'Low',45.98,'Moderate',0,None,3.90%,25.28,'Very Low',12.54,'High',39.94,'Moderate',71.92,'High',0,None
Bosnia And Herzegovina,East,0.02%,98.49%,63.66,'Moderate',58.3,'Moderate',55.62,'Moderate',80.48,'Very High',5.78%,32.01,'Very Low',13.12,'High',26.15,'Very Low',59.68,'Moderate',': 134.51','Moderate'
Botswana,South,0.02%,88.22%,64.6,'Moderate',47.3,'Moderate',61.12,'High',88.87,'Very High',2.90%,40.05,'Low',118.01,'Very High',28.53,'Low',46.09,'Moderate',': 36.55','Very Low'
Brazil,South,1.91%,92.59%,42.13,'Low',35.36,'Low',59.21,'Moderate',94.31,'Very High',-1.63%,27.14,'Very Low',15.4,'High',40.63,'Moderate',52.84,'Moderate',': 115.99','Low'
Brunei,Southeast,0.02%,96.66%,119.26,'Very High',70.7,'High',75.37,'High',0,None,3.36%,46.73,'Low',6.97,'Low',27.3,'Low',35.49,'Low',0,None
Bulgaria,East,0.09%,98.39%,77.66,'Moderate',63.73,'High',58.15,'Moderate',82.76,'Very High',1.48%,35.86,'Very Low',9.22,'Moderate',29.05,'Low',62.94,'High',': 144.49','Moderate'
Burkina Faso,West,0.02%,37.75%,0,None,61.16,'High',49.31,'Moderate',0,None,1.85%,0,None,1.25,'Very Low',50,'High',0,None,0,None
Burundi,Central,0.00%,85.50%,0,None,43.44,'Moderate',34.44,'Low',0,None,17.71%,0,None,20.67,'Very High',33,'Low',87.84,'Very High',0,None
Cambodia,Southeast,0.03%,78.35%,26.95,'Very Low',48.19,'Moderate',50.71,'Moderate',59.43,'Moderate',5.16%,34.38,'Very Low',26.77,'Very High',28,'Low',77.77,'High',': 78.92','Very Low'
Cameroon,Central,0.04%,74.99%,10.02,'Very Low',34.53,'Low',45.53,'Moderate',0,None,3.54%,37.61,'Very Low',46.06,'Very High',46,'High',93.71,'Very High',0,None
Canada,North,2.13%,99.00%,111.31,'Very High',54.34,'Moderate',68.82,'High',55.41,'Moderate',3.40%,60.55,'Moderate',10.47,'Moderate',33.53,'Low',29.8,'Low',': 164.54','Very High'
Cape Verde,West,0.00%,88.47%,18.09,'Very Low',49.87,'Moderate',67.71,'High',0,None,0.00%,38.51,'Very Low',17.12,'Very High',15.33,'Very Low',81.03,'Very High',0,None
African Republic,Central,0.00%,36.75%,0,None,15.89,'Very Low',41.67,'Moderate',0,None,2.24%,0,None,8.5,'Moderate',5,'Very Low',84.83,'Very High',0,None
Chad,Central,0.01%,40.02%,20.21,'Very Low',32.16,'Low',44.21,'Moderate',0,None,2.44%,46.23,'Low',2.69,'Very Low',6,'Very Low',60.56,'High',0,None
Chile,South,0.30%,96.63%,51.47,'Low',39.55,'Low',63.52,'High',90.21,'Very High',2.99%,36.29,'Very Low',16.03,'Very High',36.04,'Moderate',77.51,'High',': 106.49','Low'
China,East,17.86%,96.36%,78.42,'Moderate',75.82,'High',68.53,'High',79.61,'High',7.50%,31.23,'Very Low',28.6,'Very High',38.9,'Moderate',77.3,'High',': 120.52','Moderate'
Colombia,South,0.34%,94.58%,36.19,'Very Low',39.14,'Low',68.44,'High',96.69,'Very High',2.39%,25.48,'Very Low',17.98,'Very High',47.15,'High',62.47,'High',': 107.90','Low'
Comoros,South,0.00%,78.14%,41.96,'Low',52.94,'Moderate',0,None,0,None,1.55%,35.91,'Very Low',11.15,'Moderate',0,None,0,None,0,None
Costa Rica,Central,0.07%,97.65%,50.9,'Low',46.04,'Moderate',64.29,'High',99.48,'Very High',4.31%,50.18,'Low',9.63,'Moderate',59.99,'Very High',42.39,'Moderate',': 129.35','Moderate'
Croatia,East,0.07%,99.27%,83.85,'Moderate',74.54,'High',64.66,'High',89.23,'Very High',6.33%,43.23,'Low',12.45,'High',25.79,'Very Low',31.1,'Low',': 176.02','Very High'
Cuba,Central,0,99.71%,2.55,'Very Low',66.02,'High',59.3,'Moderate',0,None,5.63%,41.1,'Low',48,'Very High',47.89,'High',65.82,'High',0,None
Cyprus,Central,0.03%,99.06%,84.66,'Moderate',66.9,'High',57.13,'Moderate',90.87,'Very High',2.46%,50.99,'Low',8.06,'Moderate',23.59,'Very Low',54.99,'Moderate',': 158.84','High'
Czech Republic,Central,0.29%,0.00%,90.3,'High',73.64,'High',75.47,'High',79.1,'High',6.74%,43.65,'Low',13.17,'High',29.12,'Low',34.78,'Low',': 174.21','Very High'
Republic of the Congo,Central,0.06%,77.22%,25.51,'Very Low',36.16,'Low',25.69,'Low',0,None,3.82%,50.85,'Low',37.22,'Very High',75,'Very High',83.22,'Very High',0,None
Denmark,North,0.39%,99.00%,134.75,'Very High',73.81,'High',78.5,'High',82.47,'Very High',5.94%,68.9,'Moderate',6.36,'Low',27.93,'Low',20.75,'Low',': 208.65','Very High'
Djibouti,East,0,67.90%,165.89,'Very High',42.74,'Moderate',0,None,0,None,4.86%,76.83,'High',12.41,'High',42.67,'High',64.6,'High',0,None
Dominica,West,0.00%,94.00%,32.92,'Very Low',46.42,'Moderate',36.57,'Low',0,None,8.92%,50.36,'Low',0.64,'Very Low',0,None,20.69,'Low',0,None
Dominican Republic,West,0.11%,92.47%,31.82,'Very Low',39.4,'Low',58.26,'Moderate',67.82,'High',2.95%,34.75,'Very Low',16.89,'Very High',40.69,'Moderate',72.8,'High',': 89.09','Very Low'
Ecuador,South,0.11%,94.52%,45.93,'Low',37.57,'Low',75.39,'High',94.51,'Very High',6.59%,30.28,'Very Low',12,'High',37.68,'Moderate',59.05,'Moderate',': 125.58','Moderate'
Egypt,North,0.47%,75.84%,21.15,'Very Low',52.64,'Moderate',47.32,'Moderate',91.98,'Very High',2.60%,19.46,'Very Low',17.85,'Very High',48.1,'High',82.67,'Very High',': 85.41','Very Low'
El Salvador,Central,0.03%,87.65%,33.72,'Very Low',40.58,'Moderate',51.67,'Moderate',86.6,'Very High',3.15%,38.13,'Very Low',16,'Very High',40.39,'Moderate',75.37,'High',': 93.05','Very Low'
Equatorial Guinea,Central,0.01%,95.20%,30.87,'Very Low',52.16,'Moderate',42.59,'Moderate',0,None,-1.29%,51.87,'Low',7.15,'Low',20.5,'Very Low',59.85,'Moderate',0,None
Eritrea,East,0,73.85%,58.05,'Low',72.86,'High',55.56,'Moderate',0,None,3.91%,53.58,'Low',4.41,'Very Low',0,None,15.52,'Very Low',0,None
Estonia,North,0.04%,99.82%,83.91,'Moderate',76.37,'High',75.93,'High',64.28,'High',5.32%,50.4,'Low',11.27,'Moderate',21.57,'Very Low',17.02,'Very Low',': 185.10','Very High'
Eswatini,South,0.00%,87.47%,64.57,'Moderate',56.45,'Moderate',61.11,'High',0,None,16.12%,24.22,'Very Low',2.82,'Very Low',31,'Low',32.07,'Low',0,None
Ethiopia,East,0.13%,49.03%,13.59,'Very Low',49.1,'Moderate',53.46,'Moderate',96.82,'Very High',2.08%,43.89,'Low',49.87,'Very High',63.36,'Very High',73.24,'High',': 48.88','Very Low'
Fiji,Southeast,0.00%,93.70%,57.77,'Low',43.44,'Moderate',48.18,'Moderate',71.89,'High',2.56%,33.42,'Very Low',6.51,'Low',40.93,'Moderate',53.44,'Moderate',': 122.12','Moderate'
Finland,North,0.28%,100.00%,126.13,'Very High',73.57,'High',77.57,'High',58.87,'Moderate',3.04%,60.04,'Moderate',8.16,'Moderate',25.56,'Very Low',11.83,'Very Low',': 203.06','Very High'
France,West,2.77%,99.00%,111.7,'Very High',44.56,'Moderate',77.78,'High',89.71,'Very High',4.92%,59.48,'Low',10.55,'Moderate',34.72,'Low',43.56,'Moderate',': 165.08','Very High'
Gabon,Central,0.02%,83.24%,20.07,'Very Low',39.86,'Low',31.48,'Low',0,None,10.11%,48.7,'Low',69.71,'Very High',16.35,'Very Low',76.47,'High',0,None
Gambia,West,0.00%,55.57%,7.25,'Very Low',40.88,'Moderate',66.67,'High',0,None,1.79%,27.72,'Very Low',103.29,'Very High',65,'Very High',61.67,'High',0,None
Georgia,Central,0.02%,99.76%,40.6,'Low',73.9,'High',56.34,'Moderate',88.53,'Very High',3.24%,32,'Very Low',12.21,'High',38.63,'Moderate',67.54,'High',': 125.48','Moderate'
Germany,Central,4.05%,99.00%,130.01,'Very High',60.77,'High',71.97,'High',83.3,'Very High',5.91%,59.56,'Low',9.12,'Moderate',29.82,'Low',28.81,'Low',': 189.75','Very High'
Ghana,West,0.07%,76.58%,17.4,'Very Low',54.65,'Moderate',57.38,'Moderate',67.03,'High',5.80%,30.49,'Very Low',81.28,'Very High',39.67,'Moderate',86.91,'Very High',': 17.47','Very Low'
Greece,East,0.22%,95.29%,59.69,'Low',53.44,'Moderate',58.2,'Moderate',91.79,'Very High',4.12%,47.78,'Low',12.72,'High',33.53,'Low',50.07,'Moderate',': 136.83','Moderate'
Grenada,West,0.00%,96.00%,31.88,'Very Low',75.07,'High',65.28,'High',0,None,4.70%,75.44,'High',175.23,'Very High',40,'Moderate',49.18,'Moderate',0,None
Guatemala,Central,0.09%,79.07%,40.26,'Low',41.92,'Moderate',67.33,'High',99.89,'Very High',3.50%,36.67,'Very Low',11.44,'Moderate',50.58,'High',73.47,'High',': 107.92','Low'
Guinea,West,0.02%,30.47%,0,None,39.95,'Low',100,'Very High',0,None,57.80%,0,None,0.68,'Very Low',0,None,106.67,'Very High',0,None
Guinea-Bissau,West,0.00%,59.77%,76.11,'Moderate',48.18,'Moderate',51.39,'Moderate',0,None,-1.68%,39.6,'Very Low',7.13,'Low',20,'Very Low',0,None,0,None
Guyana,South,0.02%,87.54%,35,'Very Low',33.65,'Low',37.65,'Low',0,None,4.00%,44.46,'Low',19.72,'Very High',52,'High',60.09,'High',0,None
Haiti,West,0.02%,60.69%,77.7,'Moderate',21.41,'Low',32.72,'Low',0,None,-3.48%,51.39,'Low',5.5,'Low',80.67,'Very High',94.3,'Very High',0,None
Honduras,Central,0.03%,88.42%,43.68,'Low',27.75,'Low',37.83,'Low',0,None,4.58%,34.39,'Very Low',6.36,'Low',19.7,'Very Low',75.52,'High',0,None
Hungary,Central,0.18%,99.38%,70.34,'Moderate',66.28,'High',54.07,'Moderate',78.74,'High',6.44%,37.72,'Very Low',13.22,'High',35.68,'Moderate',46.57,'Moderate',': 143.26','Moderate'
Iceland,North,0.03%,99.00%,126.81,'Very High',74.26,'High',67.63,'High',68.81,'High',7.00%,81.71,'High',6.39,'Low',21.35,'Very Low',15.84,'Very Low',': 202.04','Very High'
India,South,3.37%,72.23%,86.09,'High',55.67,'Moderate',65.43,'High',64.1,'High',5.31%,19.93,'Very Low',11.26,'Moderate',46.54,'High',72.89,'High',': 124.70','Moderate'
Indonesia,Southeast,1.31%,95.44%,33.47,'Very Low',54.11,'Moderate',60.84,'High',63.76,'High',2.75%,25.31,'Very Low',16.65,'Very High',43.11,'High',67.99,'High',': 99.98','Very Low'
Iran,Central,0.39%,87.17%,29.9,'Very Low',49.67,'Moderate',52.62,'Moderate',70.99,'High',7.01%,24.03,'Very Low',20.05,'Very High',46.92,'High',75.24,'High',': 85.42','Very Low'
Iraq,Central,0.26%,79.72%,55.15,'Low',57.47,'Moderate',45.9,'Moderate',46.98,'Moderate',11.97%,26.81,'Very Low',8.17,'Moderate',37.05,'Moderate',71.53,'High',': 107.76','Low'
Ireland,West,0.53%,99.00%,112.53,'Very High',52.53,'Moderate',51.38,'Moderate',87.83,'Very High',6.46%,60.85,'Moderate',6.58,'Low',37.76,'Moderate',34.79,'Low',': 166.37','Very High'
Israel,Central,0.52%,97.10%,108.83,'High',68.25,'High',73.34,'High',93.78,'Very High',3.67%,63.19,'Moderate',13.98,'High',36.61,'Moderate',56.84,'Moderate',': 161.76','Very High'
Italy,South,2.00%,99.02%,87.2,'High',53.03,'Moderate',65.13,'High',90.78,'Very High',4.20%,52.12,'Low',9.47,'Moderate',32.36,'Low',53.67,'Moderate',': 151.06','High'
Ivory Coast,West,0.07%,43.27%,12.91,'Very Low',43.57,'Moderate',44.44,'Moderate',0,None,1.03%,39.62,'Very Low',41.78,'Very High',43.5,'High',94.87,'Very High',0,None
Jamaica,West,0.02%,88.50%,36.87,'Very Low',32.61,'Low',51.52,'Moderate',71.58,'High',2.50%,49.56,'Low',20.19,'Very High',44.5,'High',66.31,'High',': 83.92','Very Low'
Japan,East,4.21%,99.00%,120.74,'Very High',77.07,'High',79.81,'High',85.26,'Very High',3.20%,46.99,'Low',12.29,'High',40.33,'Moderate',38.55,'Low',': 184.32','Very High'
Jordan,Central,0.05%,98.01%,52.44,'Low',59.78,'Moderate',65.23,'High',89.05,'Very High',4.85%,37.64,'Very Low',6.77,'Low',39.38,'Moderate',77.1,'High',': 125.01','Moderate'
Kazakhstan,Central,0.22%,99.79%,51.89,'Low',54.62,'Moderate',60.65,'High',39.78,'Moderate',1.56%,28.08,'Very Low',10.27,'Moderate',35.62,'Moderate',73.16,'High',': 105.92','Low'
Kenya,East,0.11%,78.02%,35.6,'Very Low',44.24,'Moderate',61.54,'High',99.79,'Very High',8.18%,28.23,'Very Low',18.77,'Very High',50.59,'High',69.04,'High',': 101.33','Low'
Kiribati,Southeast,0.00%,0.00%,281.83,'Very High',81.86,'Very High',55.56,'Moderate',0,None,7.02%,55.26,'Low',0,'Very Low',47.9,'High',106.9,'Very High',0,None
Kosovo (Disputed Territory),East,0,0.00%,53,'Low',59.2,'Moderate',68.47,'High',76.84,'High',2.71%,26.04,'Very Low',13.85,'High',24.06,'Very Low',67.84,'High',': 130.09','Moderate'
Kuwait,Central,0.18%,96.12%,176.8,'Very High',67.19,'High',57.93,'Moderate',20.22,'Moderate',1.98%,40.82,'Low',6.69,'Low',35.32,'Moderate',69.37,'High',': 159.55','High'
Kyrgyzstan,Central,0.01%,99.50%,35.11,'Very Low',46.17,'Moderate',57.62,'Moderate',58.11,'Moderate',0.59%,25.72,'Very Low',12.89,'High',37.7,'Moderate',70.38,'High',': 98.32','Very Low'
Laos,Southeast,0.02%,79.87%,32.51,'Very Low',63.72,'High',34.44,'Low',0,None,4.81%,32.57,'Very Low',12.67,'High',22.4,'Very Low',78.51,'High',0,None
Latvia,North,0.04%,99.89%,76.15,'Moderate',62.8,'High',62.4,'High',74.7,'High',-1.24%,44.96,'Low',8.38,'Moderate',28.7,'Low',30.4,'Low',': 164.22','Very High'
Lebanon,Central,0,94.05%,34.84,'Very Low',53.16,'Moderate',63.69,'High',94.74,'Very High',1.89%,38.99,'Very Low',16.26,'Very High',38.75,'Moderate',89.41,'Very High',': 98.43','Very Low'
